,address,asked_price,coordinate,final_price,pourcentage_difference,land_area,area,commune,price_per_area,rooms,sale_date,supplemental_area
0,Markviksvägen 15,6475000.0,"[59.371685, 17.8250389]",6950000,7.0,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,Såld 2022-06-17,44.0
1,Mälarhöjdsvägen 38,9950000.0,"[59.3008766, 17.9478054]",11300000,14.0,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,Såld 2022-06-17,22.0
2,Häradsvägen 202,5795000.0,"[59.27202322587505, 17.954076342308372]",6200000,7.0,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,Såld 2022-06-17,90.0
3,Hemmansvägen 18,11950000.0,"[59.28390406370304, 18.07625832074728]",12700000,6.0,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,Såld 2022-06-17,48.0
4,Alholmsbacken 8,7950000.0,"[59.28134, 17.9009438]",8100000,2.0,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,Såld 2022-06-17,0.0
5,Herrgårdsvägen 13,14500000.0,"[59.2924271, 18.06412]",16400000,13.0,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,Såld 2022-06-17,64.0
6,Skogsslingan 14,5300000.0,"[59.28062, 17.8804951]",4910000,7.0,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,Såld 2022-06-17,24.0
7,Brunflogatan 50,7195000.0,"[59.36239706, 17.8897221448]",7195000,0.0,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,Såld 2022-06-16,65.0
8,Knektvägen 8,6395000.0,"[59.2293115452725, 18.203405903355126]",6070000,5.0,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,Såld 2022-06-16,97.0
9,Vinstavägen 14,7875000.0,"[59.38001357456928, 17.8800077008718]",8500000,8.0,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,Såld 2022-06-16,59.0
10,Pliggvägen 2,7500000.0,"[59.2882097685, 18.011664187]",6500000,13.0,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,Såld 2022-06-16,124.0
11,Ivar Hallströms väg 11,12895000.0,"[59.2978445203, 17.9736842223]",16550000,28.0,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,Såld 2022-06-16,17.0
12,Bokvägen 1,7950000.0,"[59.4154167, 17.9572659]",7700000,3.0,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,Såld 2022-06-16,6.0
13,Enebacken 3,13950000.0,"[59.3817610642204, 18.057135417561657]",13750000,1.0,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,Såld 2022-06-16,25.0
14,Nyodlingsvägen 11,9900000.0,"[59.41727883290759, 17.96305737891288]",8600000,13.0,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,Såld 2022-06-16,102.0
15,Vivelvägen 124,6995000.0,"[59.28562, 17.978801699999998]",6995000,0.0,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,Såld 2022-06-16,68.0
16,Enebyvägen 5,8300000.0,"[59.358588768, 17.9092375606]",8250000,1.0,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,Såld 2022-06-15,63.0
17,Flottiljvägen 5,7900000.0,"[59.400079982, 17.8674542552]",7900000,0.0,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,Såld 2022-06-15,111.0
18,Blåklocksvägen 11,8950000.0,"[59.367897, 17.8194847]",9900000,11.0,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,Såld 2022-06-15,20.0
19,Furuvägen 6,7495000.0,"[59.37515234343847, 17.876427573602815]",7495000,0.0,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,Såld 2022-06-15,7.0
20,Ängsvägen 53,5500000.0,"[59.2556573165, 17.9790817508]",6165000,12.0,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,Såld 2022-06-15,0.0
21,Kummelvägen 42,13500000.0,"[59.32857, 17.9466267]",14000000,4.0,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,Såld 2022-06-15,98.0
22,Småstuguvägen 21,4495000.0,"[59.3792534, 17.8011532]",5900000,31.0,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,Såld 2022-06-15,3.0
